dimacs_file,solver,grammar,word,word_length,positive_or_negative,nonterminal_count,rule_count,singular_rule_count,double_rule_count,bool_variable_count,base_bool_variable_count,tseitin_variable_count,clause_count,fixed_value_clause_count,tseitin_clause_count,window_clause_count,status,result,time_ms
src\text\dimacs_outputs\benchmark_runs\big_grammar\g1_positive_w5.cnf,pysat:gc3,1,type id = Char ; procedure id ( ) type id = Boolean ; begin ( konšt_boolean + konšt_char / not konšt_real <= konšt_char + not konšt_int < id ) > konšt_int mod not id > konšt_char := konšt_int / konšt_real ; end,43,positive,180,324,95,229,3203156,170280,3032876,9268909,37540,9098628,132741,ok,SAT,7432.912
src\text\dimacs_outputs\benchmark_runs\big_grammar\g1_positive_w5.cnf,pysat:gc4,1,type id = Char ; procedure id ( ) type id = Boolean ; begin ( konšt_boolean + konšt_char / not konšt_real <= konšt_char + not konšt_int < id ) > konšt_int mod not id > konšt_char := konšt_int / konšt_real ; end,43,positive,180,324,95,229,3203156,170280,3032876,9268909,37540,9098628,132741,ok,SAT,6930.039
src\text\dimacs_outputs\benchmark_runs\big_grammar\g1_positive_w5.cnf,pysat:m22,1,type id = Char ; procedure id ( ) type id = Boolean ; begin ( konšt_boolean + konšt_char / not konšt_real <= konšt_char + not konšt_int < id ) > konšt_int mod not id > konšt_char := konšt_int / konšt_real ; end,43,positive,180,324,95,229,3203156,170280,3032876,9268909,37540,9098628,132741,ok,SAT,5491.877
src\text\dimacs_outputs\benchmark_runs\big_grammar\g1_positive_w5.cnf,pysat:mc,1,type id = Char ; procedure id ( ) type id = Boolean ; begin ( konšt_boolean + konšt_char / not konšt_real <= konšt_char + not konšt_int < id ) > konšt_int mod not id > konšt_char := konšt_int / konšt_real ; end,43,positive,180,324,95,229,3203156,170280,3032876,9268909,37540,9098628,132741,ok,SAT,7621.777
src\text\dimacs_outputs\benchmark_runs\big_grammar\g1_positive_w5.cnf,pysat:mgh,1,type id = Char ; procedure id ( ) type id = Boolean ; begin ( konšt_boolean + konšt_char / not konšt_real <= konšt_char + not konšt_int < id ) > konšt_int mod not id > konšt_char := konšt_int / konšt_real ; end,43,positive,180,324,95,229,3203156,170280,3032876,9268909,37540,9098628,132741,ok,SAT,5689.895
src\text\dimacs_outputs\benchmark_runs\big_grammar\g1_positive_w5.cnf,pycryptosat,1,type id = Char ; procedure id ( ) type id = Boolean ; begin ( konšt_boolean + konšt_char / not konšt_real <= konšt_char + not konšt_int < id ) > konšt_int mod not id > konšt_char := konšt_int / konšt_real ; end,43,positive,180,324,95,229,3203156,170280,3032876,9268909,37540,9098628,132741,ok,SAT,5070.547
src\text\dimacs_outputs\benchmark_runs\big_grammar\g1_positive_w6.cnf,pysat:g3,1,type id = Integer ; procedure id ( ) type id = Char ; begin id >= id and konšt_int < - konšt_boolean < konšt_real - - konšt_real + id := konšt_real <> konšt_int > - konšt_char > konšt_int ; end,41,positive,180,324,95,229,2783900,154980,2628920,8041741,34441,7886760,120540,ok,SAT,5178.693
src\text\dimacs_outputs\benchmark_runs\big_grammar\g1_positive_w6.cnf,pysat:g4,1,type id = Integer ; procedure id ( ) type id = Char ; begin id >= id and konšt_int < - konšt_boolean < konšt_real - - konšt_real + id := konšt_real <> konšt_int > - konšt_char > konšt_int ; end,41,positive,180,324,95,229,2783900,154980,2628920,8041741,34441,7886760,120540,ok,SAT,5007.910
src\text\dimacs_outputs\benchmark_runs\big_grammar\g1_positive_w6.cnf,pysat:gc3,1,type id = Integer ; procedure id ( ) type id = Char ; begin id >= id and konšt_int < - konšt_boolean < konšt_real - - konšt_real + id := konšt_real <> konšt_int > - konšt_char > konšt_int ; end,41,positive,180,324,95,229,2783900,154980,2628920,8041741,34441,7886760,120540,ok,SAT,6959.016
src\text\dimacs_outputs\benchmark_runs\big_grammar\g1_positive_w6.cnf,pysat:gc4,1,type id = Integer ; procedure id ( ) type id = Char ; begin id >= id and konšt_int < - konšt_boolean < konšt_real - - konšt_real + id := konšt_real <> konšt_int > - konšt_char > konšt_int ; end,41,positive,180,324,95,229,2783900,154980,2628920,8041741,34441,7886760,120540,ok,SAT,6063.392
